Name,Fname,Number,wnumber,Class,Programe,Testdate,Roll Number,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,9340939715,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
dkdk,ffhhfhf,2944458585,,12th(10th and 12th moving student),ONLINE,20-Dec-20,,,
Prateek Pandey,ffhhfhf,34344,,12th(10th and 12th moving student),ONLINE,13-Dec-20,,,
Prateek Pandey,ffhhfhf,34344,,12th(10th and 12th moving student),ONLINE,13-Dec-20,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
,,,,Choose,Choose,Choose,,,
Prateek Pandey,ffhhfhf,8767678676,,12th Pass(12th Dropper/Repeater student),ONLINE,07-Dec-20,,,
Prateek Pandey,ffhhfhf,8767678676,,12th Pass(12th Dropper/Repeater student),ONLINE,07-Dec-20,,,
dkdk,ffhhfhf,654654654,,11th(10th and 12th moving student),ONLINE,07-Dec-20,,,
dkdk,ffhhfhf,654654654,,11th(10th and 12th moving student),ONLINE,07-Dec-20,,,
Prateek Pandey,ffhhfhf,65757576,,12th(10th and 12th moving student),ONLINE,07-Dec-20,,,
vyass,Shyam Yogesh Pandey,4.95E+12,,11th(10th and 12th moving student),ONLINE,20-Dec-20,,,
Prateek Pandey,Shyam Yogesh Pandey,534433,,9th,ONLINE+CLASSROOM(OFFLINE),13-Dec-20,,,
dkdk,ffhhfhf,34433,,12th(10th and 12th moving student),ONLINE,13-Dec-20,,,
dkdk,shyam Yogesh Pandey,6664555545,,12th(10th and 12th moving student),ONLINE,20-Dec-20,,,
656,dkdk,shyam Yogesh Pandey,6664555545,,12th(10th and 12th moving student),ONLINE,44185,,
219,Prateek Pandey,ffhhfhf,490439940,,11th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),44172,,
dkdk,Shyam Yogesh Pandey,498815487,,12th(10th and 12th moving student),ONLINE,13-Dec-20,159,,
Prateek Pandey,ffhhfhf,4.48E+11,,6th,ONLINE,13-Dec-20,498,,
Prateek Pandey,ffhhfhf,3.89398E+12,,12th Pass(12th Dropper/Repeater student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,716,,
Prateek Pandey,ffhhfhf,3.89398E+12,,12th Pass(12th Dropper/Repeater student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,255,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,627,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,668,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,114,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,761,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,729,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,1000,,
dkdk,ffhhfhf,43344343,,12th(10th and 12th moving student),ONLINE,07-Dec-20,579,,
dkdk,ffhhfhf,445,,11th(10th and 12th moving student),ONLINE,Choose,808,,
dkdk,ffhhfhf,445,,11th(10th and 12th moving student),ONLINE,Choose,235,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,872,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,533,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,976,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,337,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,9,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,600,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,71,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,333,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,750,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,538,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,554,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,777,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,661,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,660,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,505,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,475,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,310,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,693,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,5,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,15,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,551,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,669,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,97,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,391,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,682,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,998,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,13,,
Prateek Pandey,ffhhfhf,55543,,Choose,Choose,Choose,511,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,106,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,754,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,373,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,223,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,414,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,342,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,983,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,297,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,854,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,858,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,537,,
dkdk,ffhhfhf,49494,,12th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),07-Dec-20,139,,
Prateek Pandey,,,,Choose,Choose,Choose,612,,
Lucky Pandey,,,,Choose,Choose,Choose,60,,
Lucky Pandey,,,,Choose,Choose,Choose,615,,
Prateek Pandey,ffhhfhf,,,Choose,Choose,Choose,881,,
Prateek Pandey,ffhhfhf,9439494943,,11th(10th and 12th moving student),ONLINE,07-Dec-20,785,,
